method,seed,domain_pair,theta_logit,top_k,threshold,n_discovered,true_pos,false_pos,false_neg,precision,recall,f1
two_stage,42,secxthr,0.01,1,,200,7,193,13,0.035,0.35,0.0636
two_stage,42,secxthr,0.01,2,,400,12,388,8,0.03,0.6,0.0571
two_stage,42,secxthr,0.01,3,,600,16,584,4,0.0267,0.8,0.0516
two_stage,42,secxthr,0.01,5,,1000,20,980,0,0.02,1.0,0.0392
two_stage,42,secxthr,0.02,1,,200,7,193,13,0.035,0.35,0.0636
two_stage,42,secxthr,0.02,2,,400,12,388,8,0.03,0.6,0.0571
two_stage,42,secxthr,0.02,3,,600,16,584,4,0.0267,0.8,0.0516
two_stage,42,secxthr,0.02,5,,1000,20,980,0,0.02,1.0,0.0392
two_stage,42,secxthr,0.03,1,,200,7,193,13,0.035,0.35,0.0636
two_stage,42,secxthr,0.03,2,,400,12,388,8,0.03,0.6,0.0571
two_stage,42,secxthr,0.03,3,,595,16,579,4,0.0269,0.8,0.052
two_stage,42,secxthr,0.03,5,,950,20,930,0,0.0211,1.0,0.0412
two_stage,42,secxthr,0.04,1,,155,6,149,14,0.0387,0.3,0.0686
two_stage,42,secxthr,0.04,2,,247,10,237,10,0.0405,0.5,0.0749
two_stage,42,secxthr,0.04,3,,298,11,287,9,0.0369,0.55,0.0692
two_stage,42,secxthr,0.04,5,,335,13,322,7,0.0388,0.65,0.0732
two_stage,42,secxthr,0.05,1,,38,5,33,15,0.1316,0.25,0.1724
two_stage,42,secxthr,0.05,2,,43,5,38,15,0.1163,0.25,0.1587
two_stage,42,secxthr,0.05,3,,43,5,38,15,0.1163,0.25,0.1587
two_stage,42,secxthr,0.05,5,,43,5,38,15,0.1163,0.25,0.1587
two_stage,42,secxthr,0.06,1,,5,0,5,20,0.0,0.0,0.0
two_stage,42,secxthr,0.06,2,,5,0,5,20,0.0,0.0,0.0
two_stage,42,secxthr,0.06,3,,5,0,5,20,0.0,0.0,0.0
two_stage,42,secxthr,0.06,5,,5,0,5,20,0.0,0.0,0.0
logit_only,42,secxthr,0.01,,,10816,20,10796,0,0.0018,1.0,0.0037
logit_only,42,secxthr,0.02,,,4354,20,4334,0,0.0046,1.0,0.0091
logit_only,42,secxthr,0.03,,,1378,20,1358,0,0.0145,1.0,0.0286
logit_only,42,secxthr,0.04,,,337,13,324,7,0.0386,0.65,0.0728
logit_only,42,secxthr,0.05,,,43,5,38,15,0.1163,0.25,0.1587
logit_only,42,secxthr,0.06,,,5,0,5,20,0.0,0.0,0.0
topk_only,42,secxthr,,1,,200,7,193,13,0.035,0.35,0.0636
topk_only,42,secxthr,,2,,400,12,388,8,0.03,0.6,0.0571
topk_only,42,secxthr,,3,,600,16,584,4,0.0267,0.8,0.0516
topk_only,42,secxthr,,5,,1000,20,980,0,0.02,1.0,0.0392
cosine,42,secxthr,,,0.1,8871,20,8851,0,0.0023,1.0,0.0045
cosine,42,secxthr,,,0.15,4994,20,4974,0,0.004,1.0,0.008
cosine,42,secxthr,,,0.2,2508,20,2488,0,0.008,1.0,0.0158
cosine,42,secxthr,,,0.25,1194,20,1174,0,0.0168,1.0,0.0329
cosine,42,secxthr,,,0.3,501,16,485,4,0.0319,0.8,0.0614
cosine,42,secxthr,,,0.35,172,8,164,12,0.0465,0.4,0.0833
random,42,secxthr,,,,223,0.1115,222.8885,19.8885,0.0005,0.0056,0.0009
two_stage,42,decxthr,0.01,1,,300,8,292,7,0.0267,0.5333,0.0508
two_stage,42,decxthr,0.01,2,,600,11,589,4,0.0183,0.7333,0.0358
two_stage,42,decxthr,0.01,3,,900,12,888,3,0.0133,0.8,0.0262
two_stage,42,decxthr,0.01,5,,1500,14,1486,1,0.0093,0.9333,0.0185
two_stage,42,decxthr,0.02,1,,300,8,292,7,0.0267,0.5333,0.0508
two_stage,42,decxthr,0.02,2,,600,11,589,4,0.0183,0.7333,0.0358
two_stage,42,decxthr,0.02,3,,900,12,888,3,0.0133,0.8,0.0262
two_stage,42,decxthr,0.02,5,,1500,14,1486,1,0.0093,0.9333,0.0185
two_stage,42,decxthr,0.03,1,,300,8,292,7,0.0267,0.5333,0.0508
two_stage,42,decxthr,0.03,2,,597,11,586,4,0.0184,0.7333,0.0359
two_stage,42,decxthr,0.03,3,,889,12,877,3,0.0135,0.8,0.0265
two_stage,42,decxthr,0.03,5,,1420,14,1406,1,0.0099,0.9333,0.0195
two_stage,42,decxthr,0.04,1,,245,8,237,7,0.0327,0.5333,0.0615
two_stage,42,decxthr,0.04,2,,401,11,390,4,0.0274,0.7333,0.0529
two_stage,42,decxthr,0.04,3,,490,12,478,3,0.0245,0.8,0.0475
two_stage,42,decxthr,0.04,5,,555,13,542,2,0.0234,0.8667,0.0456
two_stage,42,decxthr,0.05,1,,58,2,56,13,0.0345,0.1333,0.0548
two_stage,42,decxthr,0.05,2,,69,2,67,13,0.029,0.1333,0.0476
two_stage,42,decxthr,0.05,3,,71,2,69,13,0.0282,0.1333,0.0465
two_stage,42,decxthr,0.05,5,,71,2,69,13,0.0282,0.1333,0.0465
two_stage,42,decxthr,0.06,1,,2,1,1,14,0.5,0.0667,0.1176
two_stage,42,decxthr,0.06,2,,2,1,1,14,0.5,0.0667,0.1176
two_stage,42,decxthr,0.06,3,,2,1,1,14,0.5,0.0667,0.1176
two_stage,42,decxthr,0.06,5,,2,1,1,14,0.5,0.0667,0.1176
logit_only,42,decxthr,0.01,,,16291,15,16276,0,0.0009,1.0,0.0018
logit_only,42,decxthr,0.02,,,6528,15,6513,0,0.0023,1.0,0.0046
logit_only,42,decxthr,0.03,,,2140,15,2125,0,0.007,1.0,0.0139
logit_only,42,decxthr,0.04,,,564,13,551,2,0.023,0.8667,0.0449
logit_only,42,decxthr,0.05,,,71,2,69,13,0.0282,0.1333,0.0465
logit_only,42,decxthr,0.06,,,2,1,1,14,0.5,0.0667,0.1176
topk_only,42,decxthr,,1,,300,8,292,7,0.0267,0.5333,0.0508
topk_only,42,decxthr,,2,,600,11,589,4,0.0183,0.7333,0.0358
topk_only,42,decxthr,,3,,900,12,888,3,0.0133,0.8,0.0262
topk_only,42,decxthr,,5,,1500,14,1486,1,0.0093,0.9333,0.0185
cosine,42,decxthr,,,0.1,13401,15,13386,0,0.0011,1.0,0.0022
cosine,42,decxthr,,,0.15,7445,15,7430,0,0.002,1.0,0.004
cosine,42,decxthr,,,0.2,3761,15,3746,0,0.004,1.0,0.0079
cosine,42,decxthr,,,0.25,1856,15,1841,0,0.0081,1.0,0.016
cosine,42,decxthr,,,0.3,837,13,824,2,0.0155,0.8667,0.0305
cosine,42,decxthr,,,0.35,293,7,286,8,0.0239,0.4667,0.0455
random,42,decxthr,,,,350,0.0875,349.9125,14.9125,0.0003,0.0058,0.0005
two_stage,42,secxdec,0.01,1,,200,5,195,10,0.025,0.3333,0.0465
two_stage,42,secxdec,0.01,2,,400,8,392,7,0.02,0.5333,0.0386
two_stage,42,secxdec,0.01,3,,600,10,590,5,0.0167,0.6667,0.0325
two_stage,42,secxdec,0.01,5,,1000,11,989,4,0.011,0.7333,0.0217
two_stage,42,secxdec,0.02,1,,200,5,195,10,0.025,0.3333,0.0465
two_stage,42,secxdec,0.02,2,,400,8,392,7,0.02,0.5333,0.0386
two_stage,42,secxdec,0.02,3,,600,10,590,5,0.0167,0.6667,0.0325
two_stage,42,secxdec,0.02,5,,1000,11,989,4,0.011,0.7333,0.0217
two_stage,42,secxdec,0.03,1,,200,5,195,10,0.025,0.3333,0.0465
two_stage,42,secxdec,0.03,2,,400,8,392,7,0.02,0.5333,0.0386
two_stage,42,secxdec,0.03,3,,600,10,590,5,0.0167,0.6667,0.0325
two_stage,42,secxdec,0.03,5,,994,11,983,4,0.0111,0.7333,0.0218
two_stage,42,secxdec,0.04,1,,173,5,168,10,0.0289,0.3333,0.0532
two_stage,42,secxdec,0.04,2,,292,8,284,7,0.0274,0.5333,0.0521
two_stage,42,secxdec,0.04,3,,357,9,348,6,0.0252,0.6,0.0484
two_stage,42,secxdec,0.04,5,,400,10,390,5,0.025,0.6667,0.0482
two_stage,42,secxdec,0.05,1,,48,2,46,13,0.0417,0.1333,0.0635
two_stage,42,secxdec,0.05,2,,56,3,53,12,0.0536,0.2,0.0845
two_stage,42,secxdec,0.05,3,,56,3,53,12,0.0536,0.2,0.0845
two_stage,42,secxdec,0.05,5,,56,3,53,12,0.0536,0.2,0.0845
two_stage,42,secxdec,0.06,1,,5,0,5,15,0.0,0.0,0.0
two_stage,42,secxdec,0.06,2,,5,0,5,15,0.0,0.0,0.0
two_stage,42,secxdec,0.06,3,,5,0,5,15,0.0,0.0,0.0
two_stage,42,secxdec,0.06,5,,5,0,5,15,0.0,0.0,0.0
logit_only,42,secxdec,0.01,,,15994,15,15979,0,0.0009,1.0,0.0019
logit_only,42,secxdec,0.02,,,6413,15,6398,0,0.0023,1.0,0.0047
logit_only,42,secxdec,0.03,,,1982,15,1967,0,0.0076,1.0,0.015
logit_only,42,secxdec,0.04,,,409,10,399,5,0.0244,0.6667,0.0472
logit_only,42,secxdec,0.05,,,56,3,53,12,0.0536,0.2,0.0845
logit_only,42,secxdec,0.06,,,5,0,5,15,0.0,0.0,0.0
topk_only,42,secxdec,,1,,200,5,195,10,0.025,0.3333,0.0465
topk_only,42,secxdec,,2,,400,8,392,7,0.02,0.5333,0.0386
topk_only,42,secxdec,,3,,600,10,590,5,0.0167,0.6667,0.0325
topk_only,42,secxdec,,5,,1000,11,989,4,0.011,0.7333,0.0217
cosine,42,secxdec,,,0.1,13107,15,13092,0,0.0011,1.0,0.0023
cosine,42,secxdec,,,0.15,7367,15,7352,0,0.002,1.0,0.0041
cosine,42,secxdec,,,0.2,3613,15,3598,0,0.0042,1.0,0.0083
cosine,42,secxdec,,,0.25,1654,14,1640,1,0.0085,0.9333,0.0168
cosine,42,secxdec,,,0.3,638,12,626,3,0.0188,0.8,0.0368
cosine,42,secxdec,,,0.35,201,8,193,7,0.0398,0.5333,0.0741
random,42,secxdec,,,,246,0.0615,245.9385,14.9385,0.0003,0.0041,0.0005
two_stage,123,secxthr,0.01,1,,200,12,188,8,0.06,0.6,0.1091
two_stage,123,secxthr,0.01,2,,400,13,387,7,0.0325,0.65,0.0619
two_stage,123,secxthr,0.01,3,,600,16,584,4,0.0267,0.8,0.0516
two_stage,123,secxthr,0.01,5,,1000,19,981,1,0.019,0.95,0.0373
two_stage,123,secxthr,0.02,1,,200,12,188,8,0.06,0.6,0.1091
two_stage,123,secxthr,0.02,2,,400,13,387,7,0.0325,0.65,0.0619
two_stage,123,secxthr,0.02,3,,600,16,584,4,0.0267,0.8,0.0516
two_stage,123,secxthr,0.02,5,,1000,19,981,1,0.019,0.95,0.0373
two_stage,123,secxthr,0.03,1,,200,12,188,8,0.06,0.6,0.1091
two_stage,123,secxthr,0.03,2,,398,13,385,7,0.0327,0.65,0.0622
two_stage,123,secxthr,0.03,3,,592,16,576,4,0.027,0.8,0.0523
two_stage,123,secxthr,0.03,5,,944,19,925,1,0.0201,0.95,0.0394
two_stage,123,secxthr,0.04,1,,157,11,146,9,0.0701,0.55,0.1243
two_stage,123,secxthr,0.04,2,,257,11,246,9,0.0428,0.55,0.0794
two_stage,123,secxthr,0.04,3,,311,13,298,7,0.0418,0.65,0.0785
two_stage,123,secxthr,0.04,5,,334,13,321,7,0.0389,0.65,0.0734
two_stage,123,secxthr,0.05,1,,35,2,33,18,0.0571,0.1,0.0727
two_stage,123,secxthr,0.05,2,,41,2,39,18,0.0488,0.1,0.0656
two_stage,123,secxthr,0.05,3,,41,2,39,18,0.0488,0.1,0.0656
two_stage,123,secxthr,0.05,5,,41,2,39,18,0.0488,0.1,0.0656
two_stage,123,secxthr,0.06,1,,3,0,3,20,0.0,0.0,0.0
two_stage,123,secxthr,0.06,2,,3,0,3,20,0.0,0.0,0.0
two_stage,123,secxthr,0.06,3,,3,0,3,20,0.0,0.0,0.0
two_stage,123,secxthr,0.06,5,,3,0,3,20,0.0,0.0,0.0
logit_only,123,secxthr,0.01,,,10783,20,10763,0,0.0019,1.0,0.0037
logit_only,123,secxthr,0.02,,,4363,20,4343,0,0.0046,1.0,0.0091
logit_only,123,secxthr,0.03,,,1356,19,1337,1,0.014,0.95,0.0276
logit_only,123,secxthr,0.04,,,337,13,324,7,0.0386,0.65,0.0728
logit_only,123,secxthr,0.05,,,41,2,39,18,0.0488,0.1,0.0656
logit_only,123,secxthr,0.06,,,3,0,3,20,0.0,0.0,0.0
topk_only,123,secxthr,,1,,200,12,188,8,0.06,0.6,0.1091
topk_only,123,secxthr,,2,,400,13,387,7,0.0325,0.65,0.0619
topk_only,123,secxthr,,3,,600,16,584,4,0.0267,0.8,0.0516
topk_only,123,secxthr,,5,,1000,19,981,1,0.019,0.95,0.0373
cosine,123,secxthr,,,0.1,8842,20,8822,0,0.0023,1.0,0.0045
cosine,123,secxthr,,,0.15,4978,20,4958,0,0.004,1.0,0.008
cosine,123,secxthr,,,0.2,2464,20,2444,0,0.0081,1.0,0.0161
cosine,123,secxthr,,,0.25,1143,19,1124,1,0.0166,0.95,0.0327
cosine,123,secxthr,,,0.3,505,13,492,7,0.0257,0.65,0.0495
cosine,123,secxthr,,,0.35,157,8,149,12,0.051,0.4,0.0904
random,123,secxthr,,,,228,0.114,227.886,19.886,0.0005,0.0057,0.0009
two_stage,123,decxthr,0.01,1,,300,5,295,10,0.0167,0.3333,0.0317
two_stage,123,decxthr,0.01,2,,600,9,591,6,0.015,0.6,0.0293
two_stage,123,decxthr,0.01,3,,900,10,890,5,0.0111,0.6667,0.0219
two_stage,123,decxthr,0.01,5,,1500,12,1488,3,0.008,0.8,0.0158
two_stage,123,decxthr,0.02,1,,300,5,295,10,0.0167,0.3333,0.0317
two_stage,123,decxthr,0.02,2,,600,9,591,6,0.015,0.6,0.0293
two_stage,123,decxthr,0.02,3,,900,10,890,5,0.0111,0.6667,0.0219
two_stage,123,decxthr,0.02,5,,1500,12,1488,3,0.008,0.8,0.0158
two_stage,123,decxthr,0.03,1,,300,5,295,10,0.0167,0.3333,0.0317
two_stage,123,decxthr,0.03,2,,600,9,591,6,0.015,0.6,0.0293
two_stage,123,decxthr,0.03,3,,892,10,882,5,0.0112,0.6667,0.0221
two_stage,123,decxthr,0.03,5,,1438,12,1426,3,0.0083,0.8,0.0165
two_stage,123,decxthr,0.04,1,,252,5,247,10,0.0198,0.3333,0.0375
two_stage,123,decxthr,0.04,2,,417,7,410,8,0.0168,0.4667,0.0324
two_stage,123,decxthr,0.04,3,,502,7,495,8,0.0139,0.4667,0.0271
two_stage,123,decxthr,0.04,5,,555,8,547,7,0.0144,0.5333,0.0281
two_stage,123,decxthr,0.05,1,,57,2,55,13,0.0351,0.1333,0.0556
two_stage,123,decxthr,0.05,2,,68,2,66,13,0.0294,0.1333,0.0482
two_stage,123,decxthr,0.05,3,,68,2,66,13,0.0294,0.1333,0.0482
two_stage,123,decxthr,0.05,5,,68,2,66,13,0.0294,0.1333,0.0482
two_stage,123,decxthr,0.06,1,,5,1,4,14,0.2,0.0667,0.1
two_stage,123,decxthr,0.06,2,,5,1,4,14,0.2,0.0667,0.1
two_stage,123,decxthr,0.06,3,,5,1,4,14,0.2,0.0667,0.1
two_stage,123,decxthr,0.06,5,,5,1,4,14,0.2,0.0667,0.1
logit_only,123,decxthr,0.01,,,16290,15,16275,0,0.0009,1.0,0.0018
logit_only,123,decxthr,0.02,,,6646,15,6631,0,0.0023,1.0,0.0045
logit_only,123,decxthr,0.03,,,2168,13,2155,2,0.006,0.8667,0.0119
logit_only,123,decxthr,0.04,,,562,8,554,7,0.0142,0.5333,0.0277
logit_only,123,decxthr,0.05,,,68,2,66,13,0.0294,0.1333,0.0482
logit_only,123,decxthr,0.06,,,5,1,4,14,0.2,0.0667,0.1
topk_only,123,decxthr,,1,,300,5,295,10,0.0167,0.3333,0.0317
topk_only,123,decxthr,,2,,600,9,591,6,0.015,0.6,0.0293
topk_only,123,decxthr,,3,,900,10,890,5,0.0111,0.6667,0.0219
topk_only,123,decxthr,,5,,1500,12,1488,3,0.008,0.8,0.0158
cosine,123,decxthr,,,0.1,13420,15,13405,0,0.0011,1.0,0.0022
cosine,123,decxthr,,,0.15,7512,15,7497,0,0.002,1.0,0.004
cosine,123,decxthr,,,0.2,3870,15,3855,0,0.0039,1.0,0.0077
cosine,123,decxthr,,,0.25,1872,13,1859,2,0.0069,0.8667,0.0138
cosine,123,decxthr,,,0.3,832,10,822,5,0.012,0.6667,0.0236
cosine,123,decxthr,,,0.35,292,7,285,8,0.024,0.4667,0.0456
random,123,decxthr,,,,358,0.0895,357.9105,14.9105,0.0003,0.006,0.0005
two_stage,123,secxdec,0.01,1,,200,7,193,8,0.035,0.4667,0.0651
two_stage,123,secxdec,0.01,2,,400,9,391,6,0.0225,0.6,0.0434
two_stage,123,secxdec,0.01,3,,600,9,591,6,0.015,0.6,0.0293
two_stage,123,secxdec,0.01,5,,1000,12,988,3,0.012,0.8,0.0236
two_stage,123,secxdec,0.02,1,,200,7,193,8,0.035,0.4667,0.0651
two_stage,123,secxdec,0.02,2,,400,9,391,6,0.0225,0.6,0.0434
two_stage,123,secxdec,0.02,3,,600,9,591,6,0.015,0.6,0.0293
two_stage,123,secxdec,0.02,5,,1000,12,988,3,0.012,0.8,0.0236
two_stage,123,secxdec,0.03,1,,200,7,193,8,0.035,0.4667,0.0651
two_stage,123,secxdec,0.03,2,,400,9,391,6,0.0225,0.6,0.0434
two_stage,123,secxdec,0.03,3,,600,9,591,6,0.015,0.6,0.0293
two_stage,123,secxdec,0.03,5,,995,12,983,3,0.0121,0.8,0.0238
two_stage,123,secxdec,0.04,1,,177,7,170,8,0.0395,0.4667,0.0729
two_stage,123,secxdec,0.04,2,,300,9,291,6,0.03,0.6,0.0571
two_stage,123,secxdec,0.04,3,,369,9,360,6,0.0244,0.6,0.0469
two_stage,123,secxdec,0.04,5,,424,11,413,4,0.0259,0.7333,0.0501
two_stage,123,secxdec,0.05,1,,52,4,48,11,0.0769,0.2667,0.1194
two_stage,123,secxdec,0.05,2,,55,4,51,11,0.0727,0.2667,0.1143
two_stage,123,secxdec,0.05,3,,55,4,51,11,0.0727,0.2667,0.1143
two_stage,123,secxdec,0.05,5,,55,4,51,11,0.0727,0.2667,0.1143
two_stage,123,secxdec,0.06,1,,4,0,4,15,0.0,0.0,0.0
two_stage,123,secxdec,0.06,2,,4,0,4,15,0.0,0.0,0.0
two_stage,123,secxdec,0.06,3,,4,0,4,15,0.0,0.0,0.0
two_stage,123,secxdec,0.06,5,,4,0,4,15,0.0,0.0,0.0
logit_only,123,secxdec,0.01,,,16001,15,15986,0,0.0009,1.0,0.0019
logit_only,123,secxdec,0.02,,,6411,15,6396,0,0.0023,1.0,0.0047
logit_only,123,secxdec,0.03,,,1882,15,1867,0,0.008,1.0,0.0158
logit_only,123,secxdec,0.04,,,434,11,423,4,0.0253,0.7333,0.049
logit_only,123,secxdec,0.05,,,55,4,51,11,0.0727,0.2667,0.1143
logit_only,123,secxdec,0.06,,,4,0,4,15,0.0,0.0,0.0
topk_only,123,secxdec,,1,,200,7,193,8,0.035,0.4667,0.0651
topk_only,123,secxdec,,2,,400,9,391,6,0.0225,0.6,0.0434
topk_only,123,secxdec,,3,,600,9,591,6,0.015,0.6,0.0293
topk_only,123,secxdec,,5,,1000,12,988,3,0.012,0.8,0.0236
cosine,123,secxdec,,,0.1,13132,15,13117,0,0.0011,1.0,0.0023
cosine,123,secxdec,,,0.15,7310,15,7295,0,0.0021,1.0,0.0041
cosine,123,secxdec,,,0.2,3716,15,3701,0,0.004,1.0,0.008
cosine,123,secxdec,,,0.25,1628,14,1614,1,0.0086,0.9333,0.017
cosine,123,secxdec,,,0.3,645,11,634,4,0.0171,0.7333,0.0333
cosine,123,secxdec,,,0.35,216,9,207,6,0.0417,0.6,0.0779
random,123,secxdec,,,,250,0.0625,249.9375,14.9375,0.0003,0.0042,0.0005
two_stage,456,secxthr,0.01,1,,200,8,192,12,0.04,0.4,0.0727
two_stage,456,secxthr,0.01,2,,400,12,388,8,0.03,0.6,0.0571
two_stage,456,secxthr,0.01,3,,600,14,586,6,0.0233,0.7,0.0452
two_stage,456,secxthr,0.01,5,,1000,18,982,2,0.018,0.9,0.0353
two_stage,456,secxthr,0.02,1,,200,8,192,12,0.04,0.4,0.0727
two_stage,456,secxthr,0.02,2,,400,12,388,8,0.03,0.6,0.0571
two_stage,456,secxthr,0.02,3,,600,14,586,6,0.0233,0.7,0.0452
two_stage,456,secxthr,0.02,5,,1000,18,982,2,0.018,0.9,0.0353
two_stage,456,secxthr,0.03,1,,200,8,192,12,0.04,0.4,0.0727
two_stage,456,secxthr,0.03,2,,398,12,386,8,0.0302,0.6,0.0574
two_stage,456,secxthr,0.03,3,,593,14,579,6,0.0236,0.7,0.0457
two_stage,456,secxthr,0.03,5,,940,18,922,2,0.0191,0.9,0.0375
two_stage,456,secxthr,0.04,1,,165,8,157,12,0.0485,0.4,0.0865
two_stage,456,secxthr,0.04,2,,271,11,260,9,0.0406,0.55,0.0756
two_stage,456,secxthr,0.04,3,,317,11,306,9,0.0347,0.55,0.0653
two_stage,456,secxthr,0.04,5,,335,12,323,8,0.0358,0.6,0.0676
two_stage,456,secxthr,0.05,1,,39,3,36,17,0.0769,0.15,0.1017
two_stage,456,secxthr,0.05,2,,44,4,40,16,0.0909,0.2,0.125
two_stage,456,secxthr,0.05,3,,44,4,40,16,0.0909,0.2,0.125
two_stage,456,secxthr,0.05,5,,44,4,40,16,0.0909,0.2,0.125
two_stage,456,secxthr,0.06,1,,1,0,1,20,0.0,0.0,0.0
two_stage,456,secxthr,0.06,2,,1,0,1,20,0.0,0.0,0.0
two_stage,456,secxthr,0.06,3,,1,0,1,20,0.0,0.0,0.0
two_stage,456,secxthr,0.06,5,,1,0,1,20,0.0,0.0,0.0
logit_only,456,secxthr,0.01,,,10778,20,10758,0,0.0019,1.0,0.0037
logit_only,456,secxthr,0.02,,,4404,20,4384,0,0.0045,1.0,0.009
logit_only,456,secxthr,0.03,,,1383,19,1364,1,0.0137,0.95,0.0271
logit_only,456,secxthr,0.04,,,337,12,325,8,0.0356,0.6,0.0672
logit_only,456,secxthr,0.05,,,44,4,40,16,0.0909,0.2,0.125
logit_only,456,secxthr,0.06,,,1,0,1,20,0.0,0.0,0.0
topk_only,456,secxthr,,1,,200,8,192,12,0.04,0.4,0.0727
topk_only,456,secxthr,,2,,400,12,388,8,0.03,0.6,0.0571
topk_only,456,secxthr,,3,,600,14,586,6,0.0233,0.7,0.0452
topk_only,456,secxthr,,5,,1000,18,982,2,0.018,0.9,0.0353
cosine,456,secxthr,,,0.1,8823,20,8803,0,0.0023,1.0,0.0045
cosine,456,secxthr,,,0.15,4970,20,4950,0,0.004,1.0,0.008
cosine,456,secxthr,,,0.2,2543,19,2524,1,0.0075,0.95,0.0148
cosine,456,secxthr,,,0.25,1169,19,1150,1,0.0163,0.95,0.032
cosine,456,secxthr,,,0.3,502,14,488,6,0.0279,0.7,0.0536
cosine,456,secxthr,,,0.35,171,7,164,13,0.0409,0.35,0.0733
random,456,secxthr,,,,235,0.1175,234.8825,19.8825,0.0005,0.0059,0.0009
two_stage,456,decxthr,0.01,1,,300,6,294,9,0.02,0.4,0.0381
two_stage,456,decxthr,0.01,2,,600,10,590,5,0.0167,0.6667,0.0325
two_stage,456,decxthr,0.01,3,,900,12,888,3,0.0133,0.8,0.0262
two_stage,456,decxthr,0.01,5,,1500,14,1486,1,0.0093,0.9333,0.0185
two_stage,456,decxthr,0.02,1,,300,6,294,9,0.02,0.4,0.0381
two_stage,456,decxthr,0.02,2,,600,10,590,5,0.0167,0.6667,0.0325
two_stage,456,decxthr,0.02,3,,900,12,888,3,0.0133,0.8,0.0262
two_stage,456,decxthr,0.02,5,,1500,14,1486,1,0.0093,0.9333,0.0185
two_stage,456,decxthr,0.03,1,,300,6,294,9,0.02,0.4,0.0381
two_stage,456,decxthr,0.03,2,,599,10,589,5,0.0167,0.6667,0.0326
two_stage,456,decxthr,0.03,3,,897,12,885,3,0.0134,0.8,0.0263
two_stage,456,decxthr,0.03,5,,1443,14,1429,1,0.0097,0.9333,0.0192
two_stage,456,decxthr,0.04,1,,244,5,239,10,0.0205,0.3333,0.0386
two_stage,456,decxthr,0.04,2,,411,8,403,7,0.0195,0.5333,0.0376
two_stage,456,decxthr,0.04,3,,499,8,491,7,0.016,0.5333,0.0311
two_stage,456,decxthr,0.04,5,,561,8,553,7,0.0143,0.5333,0.0278
two_stage,456,decxthr,0.05,1,,60,2,58,13,0.0333,0.1333,0.0533
two_stage,456,decxthr,0.05,2,,69,2,67,13,0.029,0.1333,0.0476
two_stage,456,decxthr,0.05,3,,70,2,68,13,0.0286,0.1333,0.0471
two_stage,456,decxthr,0.05,5,,71,2,69,13,0.0282,0.1333,0.0465
two_stage,456,decxthr,0.06,1,,3,0,3,15,0.0,0.0,0.0
two_stage,456,decxthr,0.06,2,,3,0,3,15,0.0,0.0,0.0
two_stage,456,decxthr,0.06,3,,3,0,3,15,0.0,0.0,0.0
