seed,schedule,checkpoint,effective_ratio,cumulative_gt_acc,recent_50_gt_acc,w_frobenius,w_max,w_entropy,grad_mag_f0,grad_mag_f1,grad_mag_f2,grad_mag_f3,grad_mag_f4,grad_mag_f5,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider
42,fixed_2.0,50,2.0,0.6,0.6,2.373407,0.963485,1.386243,0.010273,0.013249,0.013394,0.018038,0.008,0.006859,0.4,0.615385,0.571429,0.6,0.7
42,fixed_2.0,100,2.0,0.67,0.74,2.412315,0.99408,1.38497,0.010295,0.012725,0.012214,0.015855,0.008005,0.007658,0.777778,0.666667,0.588235,0.571429,0.764706
42,fixed_2.0,200,2.0,0.68,0.72,2.398896,1.010692,1.384663,0.00671,0.015775,0.014036,0.016888,0.007197,0.006104,0.771429,0.744186,0.581395,0.590909,0.742857
42,fixed_2.0,400,2.0,0.705,0.7,2.623647,1.240951,1.382567,0.010281,0.012692,0.01459,0.015694,0.008542,0.007106,0.841463,0.690476,0.626667,0.658537,0.701299
42,fixed_2.0,700,2.0,0.711429,0.72,3.159923,1.560029,1.380526,0.009686,0.012299,0.011542,0.01421,0.008566,0.007821,0.815603,0.678832,0.630435,0.691781,0.73913
42,fixed_2.0,1000,2.0,0.736,0.7,3.740044,1.767133,1.380725,0.009801,0.011804,0.012795,0.015674,0.00838,0.008803,0.82,0.685,0.655,0.745,0.775
123,fixed_2.0,50,2.0,0.64,0.64,2.594016,1.034398,1.383404,0.00615,0.014848,0.012609,0.014195,0.007648,0.007631,0.75,0.666667,0.571429,0.454545,0.875
123,fixed_2.0,100,2.0,0.6,0.56,2.43558,1.011648,1.384331,0.010948,0.014513,0.014888,0.016361,0.00947,0.007231,0.666667,0.529412,0.576923,0.5,0.736842
123,fixed_2.0,200,2.0,0.625,0.6,2.484491,1.24862,1.383823,0.010744,0.015347,0.013537,0.017902,0.006038,0.006104,0.59375,0.604651,0.571429,0.681818,0.666667
123,fixed_2.0,400,2.0,0.675,0.82,2.673457,1.351245,1.385706,0.009068,0.011579,0.012385,0.01441,0.006806,0.006158,0.69863,0.583333,0.630137,0.698795,0.758621
123,fixed_2.0,700,2.0,0.727143,0.84,3.080612,1.629663,1.385274,0.010357,0.011919,0.01362,0.01321,0.007991,0.007496,0.798507,0.630872,0.701493,0.737589,0.774648
123,fixed_2.0,1000,2.0,0.751,0.82,3.640487,1.874365,1.38444,0.009862,0.012603,0.010051,0.015723,0.007651,0.008858,0.8,0.655,0.71,0.795,0.795
456,fixed_2.0,50,2.0,0.66,0.66,2.421228,0.940602,1.38423,0.008589,0.013408,0.012534,0.013509,0.00947,0.00855,0.75,0.777778,0.230769,0.75,1.0
456,fixed_2.0,100,2.0,0.58,0.5,2.328694,0.973443,1.382699,0.010479,0.013103,0.014816,0.017028,0.00914,0.008184,0.8125,0.55,0.263158,0.73913,0.545455
456,fixed_2.0,200,2.0,0.665,0.68,2.233466,0.95357,1.383051,0.008875,0.016232,0.013815,0.017261,0.007981,0.006832,0.852941,0.611111,0.488372,0.717391,0.682927
456,fixed_2.0,400,2.0,0.6875,0.74,2.574359,1.204166,1.384876,0.010041,0.012297,0.013826,0.015952,0.008659,0.008689,0.8,0.636364,0.5375,0.746835,0.719101
456,fixed_2.0,700,2.0,0.727143,0.8,3.086307,1.422485,1.382826,0.008757,0.012383,0.01281,0.013942,0.008032,0.008909,0.813433,0.656934,0.629371,0.775362,0.763514
456,fixed_2.0,1000,2.0,0.752,0.78,3.634633,1.757218,1.378427,0.008508,0.015447,0.012361,0.01504,0.006877,0.00699,0.825,0.7,0.68,0.795,0.76
789,fixed_2.0,50,2.0,0.74,0.74,2.550622,1.023333,1.385209,0.009946,0.015191,0.011685,0.016022,0.005522,0.004283,0.454545,1.0,1.0,0.777778,0.571429
789,fixed_2.0,100,2.0,0.73,0.72,2.598993,1.058168,1.385791,0.0089,0.012835,0.013186,0.014951,0.008973,0.008373,0.5625,0.75,0.7,0.793103,0.761905
789,fixed_2.0,200,2.0,0.715,0.68,2.671139,1.253606,1.385761,0.00991,0.012064,0.01305,0.013882,0.008383,0.00762,0.666667,0.761905,0.666667,0.784314,0.659574
789,fixed_2.0,400,2.0,0.7525,0.76,3.097566,1.448953,1.383901,0.010293,0.012808,0.011668,0.015192,0.007411,0.007543,0.786667,0.753086,0.73913,0.790698,0.696629
789,fixed_2.0,700,2.0,0.764286,0.78,3.447152,1.485857,1.380942,0.009017,0.013775,0.015505,0.014755,0.008015,0.007047,0.838235,0.741259,0.697842,0.80137,0.742647
789,fixed_2.0,1000,2.0,0.763,0.8,3.821415,1.740929,1.381568,0.012793,0.009986,0.012362,0.013644,0.010057,0.010038,0.82,0.745,0.705,0.81,0.735
1024,fixed_2.0,50,2.0,0.62,0.62,2.356372,0.969675,1.383497,0.010639,0.013935,0.012946,0.014702,0.01075,0.009435,0.857143,0.615385,0.857143,0.571429,0.111111
1024,fixed_2.0,100,2.0,0.6,0.58,2.251059,0.913418,1.38514,0.010956,0.014155,0.011861,0.015753,0.010086,0.009132,0.769231,0.571429,0.714286,0.555556,0.380952
1024,fixed_2.0,200,2.0,0.61,0.7,2.238033,1.011944,1.383271,0.011811,0.010977,0.010455,0.014845,0.009439,0.008609,0.818182,0.5,0.722222,0.540541,0.463415
1024,fixed_2.0,400,2.0,0.635,0.64,2.541038,1.255903,1.378635,0.011065,0.013622,0.014621,0.015865,0.006694,0.006076,0.772152,0.5,0.647059,0.657895,0.6
1024,fixed_2.0,700,2.0,0.684286,0.76,3.186424,1.544232,1.380806,0.008136,0.013299,0.012018,0.01544,0.005859,0.003901,0.774436,0.576389,0.680272,0.73913,0.65942
1024,fixed_2.0,1000,2.0,0.718,0.8,3.796803,1.850059,1.375488,0.008939,0.011657,0.012619,0.013271,0.008711,0.007773,0.81,0.635,0.7,0.77,0.675
2048,fixed_2.0,50,2.0,0.64,0.64,2.386172,0.97109,1.385456,0.013524,0.011496,0.011975,0.015497,0.009367,0.00908,0.818182,0.583333,0.777778,0.555556,0.444444
2048,fixed_2.0,100,2.0,0.67,0.7,2.41421,1.040079,1.385858,0.009032,0.012862,0.014102,0.014983,0.007778,0.006731,0.777778,0.708333,0.73913,0.5,0.578947
2048,fixed_2.0,200,2.0,0.675,0.72,2.454471,1.190756,1.383247,0.009399,0.013438,0.011372,0.014405,0.008831,0.007352,0.710526,0.690476,0.674419,0.571429,0.714286
2048,fixed_2.0,400,2.0,0.7025,0.7,2.712859,1.401793,1.38137,0.00911,0.016784,0.013045,0.016658,0.007621,0.007339,0.75641,0.695122,0.638554,0.69863,0.72619
2048,fixed_2.0,700,2.0,0.725714,0.68,3.033825,1.550168,1.382044,0.009544,0.014652,0.011601,0.015733,0.007699,0.008413,0.79562,0.688742,0.669118,0.774436,0.706294
2048,fixed_2.0,1000,2.0,0.749,0.9,3.54909,1.878088,1.379962,0.008982,0.011893,0.011969,0.013356,0.008002,0.007553,0.815,0.68,0.705,0.81,0.735
3072,fixed_2.0,50,2.0,0.72,0.72,2.592883,0.977815,1.38467,0.008611,0.012131,0.015513,0.014207,0.006797,0.007158,0.714286,0.545455,1.0,0.636364,0.785714
3072,fixed_2.0,100,2.0,0.67,0.62,2.579695,1.057782,1.384054,0.009304,0.014621,0.014435,0.015472,0.008157,0.008388,0.705882,0.625,0.857143,0.545455,0.695652
3072,fixed_2.0,200,2.0,0.68,0.7,2.718736,1.197018,1.38285,0.010496,0.014218,0.01144,0.016524,0.008269,0.007484,0.71875,0.586957,0.769231,0.651163,0.7
3072,fixed_2.0,400,2.0,0.6825,0.84,3.067198,1.502698,1.378616,0.009466,0.009808,0.010127,0.010925,0.009748,0.009094,0.818182,0.614458,0.671233,0.710526,0.615385
3072,fixed_2.0,700,2.0,0.731429,0.88,3.569375,1.64333,1.38283,0.007529,0.011948,0.012638,0.011288,0.00643,0.005281,0.833333,0.683099,0.724138,0.744186,0.678082
3072,fixed_2.0,1000,2.0,0.752,0.8,3.88603,1.819443,1.378391,0.010188,0.011816,0.011871,0.014116,0.007626,0.008349,0.845,0.71,0.735,0.775,0.695
4096,fixed_2.0,50,2.0,0.6,0.6,2.285609,0.90059,1.385342,0.009443,0.01575,0.013683,0.017329,0.008446,0.008171,0.7,0.166667,0.461538,0.727273,0.8
4096,fixed_2.0,100,2.0,0.61,0.62,2.131639,0.936128,1.385108,0.011952,0.011541,0.013814,0.014526,0.01083,0.010564,0.727273,0.466667,0.5,0.647059,0.666667
4096,fixed_2.0,200,2.0,0.59,0.58,1.970643,0.916254,1.384134,0.010824,0.016112,0.012633,0.017765,0.008489,0.008403,0.727273,0.6,0.5,0.512821,0.6
4096,fixed_2.0,400,2.0,0.625,0.68,2.147234,1.067241,1.385793,0.010799,0.012787,0.011802,0.01556,0.009601,0.008876,0.746988,0.641026,0.558442,0.591549,0.582418
4096,fixed_2.0,700,2.0,0.671429,0.76,2.488864,1.135065,1.384349,0.008629,0.015226,0.011653,0.016633,0.007004,0.005636,0.809859,0.626761,0.624113,0.637037,0.657143
4096,fixed_2.0,1000,2.0,0.699,0.72,2.835485,1.376484,1.382428,0.011348,0.0126,0.012702,0.01685,0.00876,0.007911,0.81,0.675,0.655,0.655,0.7
5120,fixed_2.0,50,2.0,0.66,0.66,2.594153,1.002137,1.383886,0.009631,0.013202,0.011249,0.015286,0.007274,0.006661,0.75,0.636364,0.615385,0.666667,0.666667
5120,fixed_2.0,100,2.0,0.68,0.7,2.629349,1.055093,1.383361,0.008875,0.012632,0.014116,0.015759,0.008184,0.007045,0.666667,0.692308,0.73913,0.636364,0.642857
5120,fixed_2.0,200,2.0,0.715,0.84,2.735648,1.1287,1.384528,0.009467,0.013251,0.011095,0.01344,0.008561,0.007535,0.731707,0.7,0.794118,0.722222,0.653061
5120,fixed_2.0,400,2.0,0.7075,0.66,2.932028,1.321508,1.385379,0.009967,0.013362,0.012755,0.015321,0.007645,0.006704,0.776316,0.640449,0.764706,0.703704,0.674419
5120,fixed_2.0,700,2.0,0.72,0.82,3.547492,1.623224,1.380682,0.010009,0.011242,0.011072,0.012197,0.009286,0.007778,0.79562,0.666667,0.729323,0.722628,0.691781
5120,fixed_2.0,1000,2.0,0.738,0.8,4.116094,1.934534,1.375846,0.008739,0.010819,0.009916,0.012968,0.009167,0.00875,0.795,0.695,0.705,0.76,0.735
6144,fixed_2.0,50,2.0,0.66,0.66,2.462434,0.979594,1.384826,0.009655,0.015041,0.010448,0.015592,0.007949,0.009458,0.846154,0.625,0.625,0.583333,0.555556
6144,fixed_2.0,100,2.0,0.73,0.8,2.617657,1.113071,1.382681,0.009966,0.01307,0.010947,0.013583,0.008816,0.008538,0.923077,0.666667,0.785714,0.590909,0.65
6144,fixed_2.0,200,2.0,0.67,0.64,2.525757,1.199435,1.381996,0.009409,0.016404,0.012522,0.016844,0.007352,0.006315,0.902439,0.575758,0.659091,0.648649,0.555556
6144,fixed_2.0,400,2.0,0.6875,0.78,2.744682,1.362846,1.380712,0.007346,0.014636,0.010613,0.016294,0.006217,0.005992,0.819277,0.621622,0.675325,0.679012,0.635294
6144,fixed_2.0,700,2.0,0.715714,0.62,3.315059,1.575697,1.381961,0.010808,0.012643,0.011358,0.015037,0.007455,0.006826,0.827068,0.666667,0.722973,0.71223,0.655172
6144,fixed_2.0,1000,2.0,0.728,0.74,3.401127,1.59931,1.382704,0.010983,0.013357,0.012515,0.016598,0.005899,0.006185,0.78,0.69,0.735,0.73,0.705
42,fixed_optimal,50,2.0,0.6,0.6,2.373407,0.963485,1.386243,0.010273,0.013249,0.013394,0.018038,0.008,0.006859,0.4,0.615385,0.571429,0.6,0.7
42,fixed_optimal,100,2.0,0.67,0.74,2.412315,0.99408,1.38497,0.010295,0.012725,0.012214,0.015855,0.008005,0.007658,0.777778,0.666667,0.588235,0.571429,0.764706
42,fixed_optimal,200,2.0,0.68,0.72,2.398896,1.010692,1.384663,0.00671,0.015775,0.014036,0.016888,0.007197,0.006104,0.771429,0.744186,0.581395,0.590909,0.742857
42,fixed_optimal,400,2.0,0.705,0.7,2.623647,1.240951,1.382567,0.010281,0.012692,0.01459,0.015694,0.008542,0.007106,0.841463,0.690476,0.626667,0.658537,0.701299
42,fixed_optimal,700,2.0,0.711429,0.72,3.159923,1.560029,1.380526,0.009686,0.012299,0.011542,0.01421,0.008566,0.007821,0.815603,0.678832,0.630435,0.691781,0.73913
42,fixed_optimal,1000,2.0,0.736,0.7,3.740044,1.767133,1.380725,0.009801,0.011804,0.012795,0.015674,0.00838,0.008803,0.82,0.685,0.655,0.745,0.775
123,fixed_optimal,50,2.0,0.64,0.64,2.594016,1.034398,1.383404,0.00615,0.014848,0.012609,0.014195,0.007648,0.007631,0.75,0.666667,0.571429,0.454545,0.875
123,fixed_optimal,100,2.0,0.6,0.56,2.43558,1.011648,1.384331,0.010948,0.014513,0.014888,0.016361,0.00947,0.007231,0.666667,0.529412,0.576923,0.5,0.736842
123,fixed_optimal,200,2.0,0.625,0.6,2.484491,1.24862,1.383823,0.010744,0.015347,0.013537,0.017902,0.006038,0.006104,0.59375,0.604651,0.571429,0.681818,0.666667
123,fixed_optimal,400,2.0,0.675,0.82,2.673457,1.351245,1.385706,0.009068,0.011579,0.012385,0.01441,0.006806,0.006158,0.69863,0.583333,0.630137,0.698795,0.758621
123,fixed_optimal,700,2.0,0.727143,0.84,3.080612,1.629663,1.385274,0.010357,0.011919,0.01362,0.01321,0.007991,0.007496,0.798507,0.630872,0.701493,0.737589,0.774648
123,fixed_optimal,1000,2.0,0.751,0.82,3.640487,1.874365,1.38444,0.009862,0.012603,0.010051,0.015723,0.007651,0.008858,0.8,0.655,0.71,0.795,0.795
456,fixed_optimal,50,2.0,0.66,0.66,2.421228,0.940602,1.38423,0.008589,0.013408,0.012534,0.013509,0.00947,0.00855,0.75,0.777778,0.230769,0.75,1.0
456,fixed_optimal,100,2.0,0.58,0.5,2.328694,0.973443,1.382699,0.010479,0.013103,0.014816,0.017028,0.00914,0.008184,0.8125,0.55,0.263158,0.73913,0.545455
456,fixed_optimal,200,2.0,0.665,0.68,2.233466,0.95357,1.383051,0.008875,0.016232,0.013815,0.017261,0.007981,0.006832,0.852941,0.611111,0.488372,0.717391,0.682927
456,fixed_optimal,400,2.0,0.6875,0.74,2.574359,1.204166,1.384876,0.010041,0.012297,0.013826,0.015952,0.008659,0.008689,0.8,0.636364,0.5375,0.746835,0.719101
456,fixed_optimal,700,2.0,0.727143,0.8,3.086307,1.422485,1.382826,0.008757,0.012383,0.01281,0.013942,0.008032,0.008909,0.813433,0.656934,0.629371,0.775362,0.763514
456,fixed_optimal,1000,2.0,0.752,0.78,3.634633,1.757218,1.378427,0.008508,0.015447,0.012361,0.01504,0.006877,0.00699,0.825,0.7,0.68,0.795,0.76
789,fixed_optimal,50,2.0,0.74,0.74,2.550622,1.023333,1.385209,0.009946,0.015191,0.011685,0.016022,0.005522,0.004283,0.454545,1.0,1.0,0.777778,0.571429
789,fixed_optimal,100,2.0,0.73,0.72,2.598993,1.058168,1.385791,0.0089,0.012835,0.013186,0.014951,0.008973,0.008373,0.5625,0.75,0.7,0.793103,0.761905
789,fixed_optimal,200,2.0,0.715,0.68,2.671139,1.253606,1.385761,0.00991,0.012064,0.01305,0.013882,0.008383,0.00762,0.666667,0.761905,0.666667,0.784314,0.659574
789,fixed_optimal,400,2.0,0.7525,0.76,3.097566,1.448953,1.383901,0.010293,0.012808,0.011668,0.015192,0.007411,0.007543,0.786667,0.753086,0.73913,0.790698,0.696629
789,fixed_optimal,700,2.0,0.764286,0.78,3.447152,1.485857,1.380942,0.009017,0.013775,0.015505,0.014755,0.008015,0.007047,0.838235,0.741259,0.697842,0.80137,0.742647
789,fixed_optimal,1000,2.0,0.763,0.8,3.821415,1.740929,1.381568,0.012793,0.009986,0.012362,0.013644,0.010057,0.010038,0.82,0.745,0.705,0.81,0.735
1024,fixed_optimal,50,2.0,0.62,0.62,2.356372,0.969675,1.383497,0.010639,0.013935,0.012946,0.014702,0.01075,0.009435,0.857143,0.615385,0.857143,0.571429,0.111111
1024,fixed_optimal,100,2.0,0.6,0.58,2.251059,0.913418,1.38514,0.010956,0.014155,0.011861,0.015753,0.010086,0.009132,0.769231,0.571429,0.714286,0.555556,0.380952
1024,fixed_optimal,200,2.0,0.61,0.7,2.238033,1.011944,1.383271,0.011811,0.010977,0.010455,0.014845,0.009439,0.008609,0.818182,0.5,0.722222,0.540541,0.463415
1024,fixed_optimal,400,2.0,0.635,0.64,2.541038,1.255903,1.378635,0.011065,0.013622,0.014621,0.015865,0.006694,0.006076,0.772152,0.5,0.647059,0.657895,0.6
