distribution,kernel,kernel_rank,seed,checkpoint,cumulative_gt_accuracy
original,l2,best,42,100,0.98
original,l2,best,42,200,0.98
original,l2,best,42,400,0.9825
original,l2,best,42,700,0.9842857142857143
original,l2,best,42,1000,0.988
original,l2,best,123,100,0.97
original,l2,best,123,200,0.98
original,l2,best,123,400,0.9775
original,l2,best,123,700,0.9785714285714285
original,l2,best,123,1000,0.979
original,l2,best,456,100,0.98
original,l2,best,456,200,0.975
original,l2,best,456,400,0.9825
original,l2,best,456,700,0.9785714285714285
original,l2,best,456,1000,0.978
original,l2,best,789,100,0.99
original,l2,best,789,200,0.995
original,l2,best,789,400,0.98
original,l2,best,789,700,0.9857142857142858
original,l2,best,789,1000,0.987
original,l2,best,1024,100,0.99
original,l2,best,1024,200,0.99
original,l2,best,1024,400,0.9875
original,l2,best,1024,700,0.9885714285714285
original,l2,best,1024,1000,0.98
original,l2,best,2048,100,1.0
original,l2,best,2048,200,0.995
original,l2,best,2048,400,0.985
original,l2,best,2048,700,0.9828571428571429
original,l2,best,2048,1000,0.983
original,l2,best,3072,100,0.99
original,l2,best,3072,200,0.985
original,l2,best,3072,400,0.9825
original,l2,best,3072,700,0.9871428571428571
original,l2,best,3072,1000,0.983
original,l2,best,4096,100,1.0
original,l2,best,4096,200,0.985
original,l2,best,4096,400,0.985
original,l2,best,4096,700,0.9857142857142858
original,l2,best,4096,1000,0.987
original,l2,best,5120,100,0.96
original,l2,best,5120,200,0.98
original,l2,best,5120,400,0.975
original,l2,best,5120,700,0.9771428571428571
original,l2,best,5120,1000,0.979
original,l2,best,6144,100,0.98
original,l2,best,6144,200,0.975
original,l2,best,6144,400,0.975
original,l2,best,6144,700,0.9757142857142858
original,l2,best,6144,1000,0.979
original,dot,worst,42,100,0.59
original,dot,worst,42,200,0.575
original,dot,worst,42,400,0.57
original,dot,worst,42,700,0.5457142857142857
original,dot,worst,42,1000,0.536
original,dot,worst,123,100,0.49
original,dot,worst,123,200,0.535
original,dot,worst,123,400,0.5175
original,dot,worst,123,700,0.5371428571428571
original,dot,worst,123,1000,0.537
original,dot,worst,456,100,0.64
original,dot,worst,456,200,0.6
original,dot,worst,456,400,0.5575
original,dot,worst,456,700,0.52
original,dot,worst,456,1000,0.479
original,dot,worst,789,100,0.57
original,dot,worst,789,200,0.61
original,dot,worst,789,400,0.58
original,dot,worst,789,700,0.5557142857142857
original,dot,worst,789,1000,0.537
original,dot,worst,1024,100,0.54
original,dot,worst,1024,200,0.575
original,dot,worst,1024,400,0.595
original,dot,worst,1024,700,0.5842857142857143
original,dot,worst,1024,1000,0.547
original,dot,worst,2048,100,0.6
original,dot,worst,2048,200,0.545
original,dot,worst,2048,400,0.5575
original,dot,worst,2048,700,0.5614285714285714
original,dot,worst,2048,1000,0.543
original,dot,worst,3072,100,0.62
original,dot,worst,3072,200,0.59
original,dot,worst,3072,400,0.5625
original,dot,worst,3072,700,0.5628571428571428
original,dot,worst,3072,1000,0.533
original,dot,worst,4096,100,0.54
original,dot,worst,4096,200,0.525
original,dot,worst,4096,400,0.535
original,dot,worst,4096,700,0.5042857142857143
original,dot,worst,4096,1000,0.495
original,dot,worst,5120,100,0.68
original,dot,worst,5120,200,0.645
original,dot,worst,5120,400,0.595
original,dot,worst,5120,700,0.5585714285714286
original,dot,worst,5120,1000,0.518
original,dot,worst,6144,100,0.57
original,dot,worst,6144,200,0.57
original,dot,worst,6144,400,0.575
original,dot,worst,6144,700,0.5328571428571428
original,dot,worst,6144,1000,0.515
normalized,l2,best,42,100,0.98
normalized,l2,best,42,200,0.98
normalized,l2,best,42,400,0.985
normalized,l2,best,42,700,0.9871428571428571
normalized,l2,best,42,1000,0.989
normalized,l2,best,123,100,0.98
normalized,l2,best,123,200,0.985
normalized,l2,best,123,400,0.9775
normalized,l2,best,123,700,0.98
normalized,l2,best,123,1000,0.982
normalized,l2,best,456,100,0.98
normalized,l2,best,456,200,0.98
normalized,l2,best,456,400,0.985
normalized,l2,best,456,700,0.9814285714285714
normalized,l2,best,456,1000,0.98
normalized,l2,best,789,100,0.99
normalized,l2,best,789,200,0.995
normalized,l2,best,789,400,0.98
normalized,l2,best,789,700,0.9857142857142858
normalized,l2,best,789,1000,0.985
normalized,l2,best,1024,100,1.0
normalized,l2,best,1024,200,0.995
normalized,l2,best,1024,400,0.99
normalized,l2,best,1024,700,0.9857142857142858
normalized,l2,best,1024,1000,0.977
normalized,l2,best,2048,100,1.0
normalized,l2,best,2048,200,1.0
normalized,l2,best,2048,400,0.9875
normalized,l2,best,2048,700,0.9842857142857143
normalized,l2,best,2048,1000,0.984
normalized,l2,best,3072,100,0.98
normalized,l2,best,3072,200,0.98
normalized,l2,best,3072,400,0.98
normalized,l2,best,3072,700,0.9857142857142858
normalized,l2,best,3072,1000,0.982
normalized,l2,best,4096,100,1.0
normalized,l2,best,4096,200,0.985
normalized,l2,best,4096,400,0.9825
normalized,l2,best,4096,700,0.9814285714285714
normalized,l2,best,4096,1000,0.982
normalized,l2,best,5120,100,0.96
normalized,l2,best,5120,200,0.98
normalized,l2,best,5120,400,0.9725
normalized,l2,best,5120,700,0.9742857142857143
normalized,l2,best,5120,1000,0.976
normalized,l2,best,6144,100,0.98
normalized,l2,best,6144,200,0.975
normalized,l2,best,6144,400,0.975
normalized,l2,best,6144,700,0.9771428571428571
normalized,l2,best,6144,1000,0.979
normalized,dot,worst,42,100,0.9
normalized,dot,worst,42,200,0.915
normalized,dot,worst,42,400,0.915
normalized,dot,worst,42,700,0.9042857142857142
normalized,dot,worst,42,1000,0.906
normalized,dot,worst,123,100,0.87
normalized,dot,worst,123,200,0.87
normalized,dot,worst,123,400,0.8825
normalized,dot,worst,123,700,0.9014285714285715
normalized,dot,worst,123,1000,0.904
normalized,dot,worst,456,100,0.93
normalized,dot,worst,456,200,0.905
normalized,dot,worst,456,400,0.885
normalized,dot,worst,456,700,0.8742857142857143
normalized,dot,worst,456,1000,0.88
normalized,dot,worst,789,100,0.91
normalized,dot,worst,789,200,0.925
normalized,dot,worst,789,400,0.9275
normalized,dot,worst,789,700,0.9257142857142857
normalized,dot,worst,789,1000,0.925
normalized,dot,worst,1024,100,0.95
normalized,dot,worst,1024,200,0.94
normalized,dot,worst,1024,400,0.9425
normalized,dot,worst,1024,700,0.9457142857142857
normalized,dot,worst,1024,1000,0.931
normalized,dot,worst,2048,100,0.91
normalized,dot,worst,2048,200,0.875
normalized,dot,worst,2048,400,0.9
normalized,dot,worst,2048,700,0.9071428571428571
normalized,dot,worst,2048,1000,0.905
normalized,dot,worst,3072,100,0.91
normalized,dot,worst,3072,200,0.91
normalized,dot,worst,3072,400,0.885
normalized,dot,worst,3072,700,0.89
normalized,dot,worst,3072,1000,0.893
normalized,dot,worst,4096,100,0.91
normalized,dot,worst,4096,200,0.87
normalized,dot,worst,4096,400,0.9075
normalized,dot,worst,4096,700,0.9071428571428571
normalized,dot,worst,4096,1000,0.907
normalized,dot,worst,5120,100,0.95
normalized,dot,worst,5120,200,0.935
normalized,dot,worst,5120,400,0.925
normalized,dot,worst,5120,700,0.9114285714285715
normalized,dot,worst,5120,1000,0.903
normalized,dot,worst,6144,100,0.94
normalized,dot,worst,6144,200,0.935
normalized,dot,worst,6144,400,0.905
normalized,dot,worst,6144,700,0.8828571428571429
normalized,dot,worst,6144,1000,0.9
mixed_scale,mahalanobis,best,42,100,0.92
mixed_scale,mahalanobis,best,42,200,0.935
mixed_scale,mahalanobis,best,42,400,0.9475
mixed_scale,mahalanobis,best,42,700,0.93
mixed_scale,mahalanobis,best,42,1000,0.934
mixed_scale,mahalanobis,best,123,100,0.93
mixed_scale,mahalanobis,best,123,200,0.935
mixed_scale,mahalanobis,best,123,400,0.9225
mixed_scale,mahalanobis,best,123,700,0.9342857142857143
mixed_scale,mahalanobis,best,123,1000,0.938
mixed_scale,mahalanobis,best,456,100,0.94
mixed_scale,mahalanobis,best,456,200,0.94
mixed_scale,mahalanobis,best,456,400,0.9375
mixed_scale,mahalanobis,best,456,700,0.9371428571428572
mixed_scale,mahalanobis,best,456,1000,0.937
mixed_scale,mahalanobis,best,789,100,0.94
mixed_scale,mahalanobis,best,789,200,0.95
mixed_scale,mahalanobis,best,789,400,0.9375
mixed_scale,mahalanobis,best,789,700,0.9371428571428572
mixed_scale,mahalanobis,best,789,1000,0.938
mixed_scale,mahalanobis,best,1024,100,0.96
mixed_scale,mahalanobis,best,1024,200,0.95
mixed_scale,mahalanobis,best,1024,400,0.9275
mixed_scale,mahalanobis,best,1024,700,0.9342857142857143
mixed_scale,mahalanobis,best,1024,1000,0.931
mixed_scale,mahalanobis,best,2048,100,0.96
mixed_scale,mahalanobis,best,2048,200,0.95
mixed_scale,mahalanobis,best,2048,400,0.95
mixed_scale,mahalanobis,best,2048,700,0.9414285714285714
mixed_scale,mahalanobis,best,2048,1000,0.941
mixed_scale,mahalanobis,best,3072,100,0.95
mixed_scale,mahalanobis,best,3072,200,0.955
mixed_scale,mahalanobis,best,3072,400,0.9425
mixed_scale,mahalanobis,best,3072,700,0.9385714285714286
mixed_scale,mahalanobis,best,3072,1000,0.933
mixed_scale,mahalanobis,best,4096,100,0.93
mixed_scale,mahalanobis,best,4096,200,0.935
mixed_scale,mahalanobis,best,4096,400,0.935
mixed_scale,mahalanobis,best,4096,700,0.9385714285714286
mixed_scale,mahalanobis,best,4096,1000,0.939
mixed_scale,mahalanobis,best,5120,100,0.95
mixed_scale,mahalanobis,best,5120,200,0.935
mixed_scale,mahalanobis,best,5120,400,0.93
mixed_scale,mahalanobis,best,5120,700,0.94
mixed_scale,mahalanobis,best,5120,1000,0.938
mixed_scale,mahalanobis,best,6144,100,0.96
mixed_scale,mahalanobis,best,6144,200,0.95
mixed_scale,mahalanobis,best,6144,400,0.9375
mixed_scale,mahalanobis,best,6144,700,0.9342857142857143
mixed_scale,mahalanobis,best,6144,1000,0.934
mixed_scale,dot,worst,42,100,0.35
mixed_scale,dot,worst,42,200,0.345
mixed_scale,dot,worst,42,400,0.3575
mixed_scale,dot,worst,42,700,0.3757142857142857
mixed_scale,dot,worst,42,1000,0.38
mixed_scale,dot,worst,123,100,0.28
mixed_scale,dot,worst,123,200,0.33
mixed_scale,dot,worst,123,400,0.34
mixed_scale,dot,worst,123,700,0.3757142857142857
mixed_scale,dot,worst,123,1000,0.401
mixed_scale,dot,worst,456,100,0.47
mixed_scale,dot,worst,456,200,0.42
mixed_scale,dot,worst,456,400,0.4025
mixed_scale,dot,worst,456,700,0.3842857142857143
mixed_scale,dot,worst,456,1000,0.367
mixed_scale,dot,worst,789,100,0.54
mixed_scale,dot,worst,789,200,0.445
mixed_scale,dot,worst,789,400,0.4175
mixed_scale,dot,worst,789,700,0.4
mixed_scale,dot,worst,789,1000,0.398
mixed_scale,dot,worst,1024,100,0.41
mixed_scale,dot,worst,1024,200,0.45
mixed_scale,dot,worst,1024,400,0.43
mixed_scale,dot,worst,1024,700,0.45
mixed_scale,dot,worst,1024,1000,0.441
mixed_scale,dot,worst,2048,100,0.46
mixed_scale,dot,worst,2048,200,0.4
mixed_scale,dot,worst,2048,400,0.3925
mixed_scale,dot,worst,2048,700,0.4014285714285714
mixed_scale,dot,worst,2048,1000,0.388
mixed_scale,dot,worst,3072,100,0.51
mixed_scale,dot,worst,3072,200,0.42
mixed_scale,dot,worst,3072,400,0.405
mixed_scale,dot,worst,3072,700,0.3914285714285714
mixed_scale,dot,worst,3072,1000,0.381
mixed_scale,dot,worst,4096,100,0.38
mixed_scale,dot,worst,4096,200,0.37
mixed_scale,dot,worst,4096,400,0.365
mixed_scale,dot,worst,4096,700,0.36857142857142855
mixed_scale,dot,worst,4096,1000,0.358
mixed_scale,dot,worst,5120,100,0.49
mixed_scale,dot,worst,5120,200,0.5
mixed_scale,dot,worst,5120,400,0.4375
mixed_scale,dot,worst,5120,700,0.42714285714285716
mixed_scale,dot,worst,5120,1000,0.397
mixed_scale,dot,worst,6144,100,0.4
mixed_scale,dot,worst,6144,200,0.38
mixed_scale,dot,worst,6144,400,0.405
mixed_scale,dot,worst,6144,700,0.38571428571428573
mixed_scale,dot,worst,6144,1000,0.38
